index,x,cosh_exact,cosh_qtt,factor_b_exact,factor_b_qtt,product_exact,product_raw,product_compressed,abs_error_raw,abs_error_compressed
73,0.5625000000000000,0.3164062500000000,0.3164062500000001,-0.6116822499992318,-0.6116822499992317,-0.1935400869138194,-0.1935400869138197,-0.1935400869138206,0.0000000000000003,0.0000000000000012
74,0.5703125000000000,0.3252563476562500,0.3252563476562501,-0.5480743804985193,-0.5480743804985192,-0.1782646712449102,-0.1782646712449106,-0.1782646712449117,0.0000000000000003,0.0000000000000015
75,0.5781250000000000,0.3342285156250000,0.3342285156250001,-0.4811230315534598,-0.4811230315534598,-0.1608050366691129,-0.1608050366691132,-0.1608050366691143,0.0000000000000003,0.0000000000000014
76,0.5859375000000000,0.3433227539062500,0.3433227539062502,-0.4112366339663935,-0.4112366339663935,-0.1411868936804787,-0.1411868936804789,-0.1411868936804800,0.0000000000000002,0.0000000000000013
77,0.5937500000000000,0.3525390625000000,0.3525390625000001,-0.3388415235451705,-0.3388415235451704,-0.1194548730466861,-0.1194548730466862,-0.1194548730466868,0.0000000000000001,0.0000000000000007
78,0.6015625000000000,0.3618774414062500,0.3618774414062502,-0.2643793402791376,-0.2643793402791376,-0.0956729192208867,-0.0956729192208867,-0.0956729192208872,0.0000000000000000,0.0000000000000005
79,0.6093750000000000,0.3713378906250000,0.3713378906250001,-0.1883043341533147,-0.1883043341533147,-0.0699245342400370,-0.0699245342400368,-0.0699245342400370,0.0000000000000003,0.0000000000000001
80,0.6171875000000000,0.3809204101562500,0.3809204101562501,-0.1110805940364038,-0.1110805940364039,-0.0423128654407468,-0.0423128654407466,-0.0423128654407468,0.0000000000000003,0.0000000000000000
81,0.6250000000000000,0.3906250000000000,0.3906250000000001,-0.0331792165475568,-0.0331792165475566,-0.0129606314638894,-0.0129606314638896,-0.0129606314638897,0.0000000000000002,0.0000000000000003
82,0.6328125000000000,0.4004516601562500,0.4004516601562500,0.0449245678270224,0.0449245678270225,0.0179901177681332,0.0179901177681334,0.0179901177681334,0.0000000000000002,0.0000000000000003
83,0.6406250000000000,0.4104003906250000,0.4104003906250001,0.1227542938357659,0.1227542938357660,0.0503784101410943,0.0503784101410946,0.0503784101410948,0.0000000000000002,0.0000000000000004
84,0.6484375000000000,0.4204711914062500,0.4204711914062500,0.1998351680960078,0.1998351680960080,0.0840249312141967,0.0840249312141971,0.0840249312141973,0.0000000000000005,0.0000000000000006
85,0.6562500000000000,0.4306640625000000,0.4306640625000000,0.2756969655291613,0.2756969655291615,0.1187327751937111,0.1187327751937116,0.1187327751937121,0.0000000000000005,0.0000000000000010
86,0.6640625000000000,0.4409790039062500,0.4409790039062500,0.3498768979273589,0.3498768979273590,0.1542883659378154,0.1542883659378161,0.1542883659378167,0.0000000000000007,0.0000000000000013
87,0.6718750000000000,0.4514160156250000,0.4514160156250001,0.4219224371521189,0.4219224371521190,0.1904625454819990,0.1904625454819999,0.1904625454820007,0.0000000000000009,0.0000000000000017
88,0.6796875000000000,0.4619750976562500,0.4619750976562500,0.4913940757423633,0.4913940757423634,0.2270118261287810,0.2270118261287821,0.2270118261287833,0.0000000000000011,0.0000000000000023
89,0.6875000000000000,0.4726562500000000,0.4726562500000001,0.5578680080909402,0.5578680080909404,0.2636798006992334,0.2636798006992342,0.2636798006992359,0.0000000000000008,0.0000000000000024
90,0.6953125000000000,0.4834594726562500,0.4834594726562500,0.6209387158333710,0.6209387158333710,0.3001987041086506,0.3001987041086516,0.3001987041086534,0.0000000000000010,0.0000000000000028
91,0.7031250000000000,0.4943847656250000,0.4943847656250000,0.6802214416768855,0.6802214416768855,0.3362911180165266,0.3362911180165280,0.3362911180165305,0.0000000000000014,0.0000000000000039
92,0.7109375000000000,0.5054321289062500,0.5054321289062500,0.7353545365783697,0.7353545365783698,0.3716718089236743,0.3716718089236762,0.3716718089236787,0.0000000000000019,0.0000000000000044
93,0.7187500000000000,0.5166015625000000,0.5166015625000000,0.7860016659524729,0.7860016659524731,0.4060496887586506,0.4060496887586521,0.4060496887586545,0.0000000000000016,0.0000000000000039
94,0.7265625000000000,0.5278930664062500,0.5278930664062501,0.8318538614510970,0.8318538614510971,0.4391298857232994,0.4391298857233011,0.4391298857233037,0.0000000000000017,0.0000000000000043
95,0.7343750000000000,0.5393066406250000,0.5393066406250000,0.8726314057975678,0.8726314057975678,0.4706159119645574,0.4706159119645591,0.4706159119645622,0.0000000000000017,0.0000000000000048
96,0.7421875000000000,0.5508422851562500,0.5508422851562500,0.9080855391772245,0.9080855391772245,0.5002119135177278,0.5002119135177299,0.5002119135177332,0.0000000000000021,0.0000000000000054
97,0.7500000000000000,0.5625000000000000,0.5625000000000000,0.9379999767747389,0.9379999767747388,0.5276249869357906,0.5276249869357920,0.5276249869357957,0.0000000000000013,0.0000000000000051
98,0.7578125000000000,0.5742797851562500,0.5742797851562500,0.9621922282005667,0.9621922282005666,0.5525675460900349,0.5525675460900366,0.5525675460900404,0.0000000000000017,0.0000000000000056
99,0.7656250000000000,0.5861816406250000,0.5861816406250001,0.9805147107574815,0.9805147107574814,0.5747597218087679,0.5747597218087694,0.5747597218087739,0.0000000000000016,0.0000000000000060
100,0.7734375000000000,0.5982055664062500,0.5982055664062499,0.9928556497558093,0.9928556497558094,0.5939317763218193,0.5939317763218216,0.5939317763218259,0.0000000000000023,0.0000000000000067
