case,index,x,exact,qtt,abs_error
single_scale_1d,127,0.9687500000000000,0.3912233859783412,0.3912233859817014,0.0000000000033602
single_scale_1d,128,0.9843750000000000,0.3794645341647085,0.3794645341643329,0.0000000000003756
multi_scale_1d,1,-1.0000000000000000,0.6944444444444444,0.6944444444444394,0.0000000000000050
multi_scale_1d,2,-0.9843750000000000,0.7128883814509785,0.7128889177252273,0.0000005362742488
multi_scale_1d,3,-0.9687500000000000,0.7320769824701879,0.7320763958433666,0.0000005866268213
multi_scale_1d,4,-0.9531250000000000,0.7520508809424138,0.7520502509036220,0.0000006300387918
multi_scale_1d,5,-0.9375000000000000,0.7728535201062675,0.7728542403022214,0.0000007201959539
multi_scale_1d,6,-0.9218750000000000,0.7945313894212491,0.7945326017609746,0.0000012123397255
multi_scale_1d,7,-0.9062500000000000,0.8171342845287115,0.8171344524819021,0.0000001679531906
multi_scale_1d,8,-0.8906250000000000,0.8407155934680339,0.8407143741652858,0.0000012193027481
multi_scale_1d,9,-0.8750000000000000,0.8653326122228232,0.8653310420656536,0.0000015701571696
multi_scale_1d,10,-0.8593750000000000,0.8910468930830746,0.8910463181521239,0.0000005749309507
multi_scale_1d,11,-0.8437500000000000,0.9179246297823516,0.9179256026844863,0.0000009729021347
multi_scale_1d,12,-0.8281250000000000,0.9460370839145981,0.9460390254331621,0.0000019415185640
multi_scale_1d,13,-0.8125000000000000,0.9754610577655846,0.9754627277828203,0.0000016700172357
multi_scale_1d,14,-0.7968750000000000,1.0062794194239444,1.0062797393576099,0.0000003199336656
multi_scale_1d,15,-0.7812500000000000,1.0385816868838493,1.0385803724261802,0.0000013144576692
multi_scale_1d,16,-0.7656250000000000,1.0724646788366272,1.0724623664169712,0.0000023124196560
multi_scale_1d,17,-0.7500000000000000,1.1080332409972300,1.1080311145290538,0.0000021264681762
multi_scale_1d,18,-0.7343750000000000,1.1454010581537122,1.1454002261283998,0.0000008320253124
multi_scale_1d,19,-0.7187500000000000,1.1846915637003101,1.1846925139528459,0.0000009502525358
multi_scale_1d,20,-0.7031250000000000,1.2260389602614912,1.2260413376753443,0.0000023774138531
multi_scale_1d,21,-0.6875000000000000,1.2695893671890499,1.2695921465668643,0.0000027793778143
multi_scale_1d,22,-0.6718750000000000,1.3155021132822036,1.3155040627281103,0.0000019494459067
multi_scale_1d,23,-0.6562500000000000,1.3639511961212640,1.3639514154882211,0.0000002193669570
multi_scale_1d,24,-0.6406250000000000,1.4151269330164040,1.4151252395291571,0.0000016934872469
multi_scale_1d,25,-0.6250000000000000,1.4692378328741966,1.4692348433093367,0.0000029895648599
multi_scale_1d,26,-0.6093750000000000,1.5265127234239204,1.5265096101493496,0.0000031132745708
multi_scale_1d,27,-0.5937500000000000,1.5872031744063488,1.5872011995757105,0.0000019748306384
multi_scale_1d,28,-0.5781250000000000,1.6515862647376658,1.6515862775748562,0.0000000128371904
multi_scale_1d,29,-0.5625000000000000,1.7199677506046764,1.7199698416812901,0.0000020910766136
multi_scale_1d,30,-0.5468750000000000,1.7926857022811227,1.7926891468331041,0.0000034445519814
multi_scale_1d,31,-0.5312500000000000,1.8701146906275112,1.8701182048107190,0.0000035141832078
multi_scale_1d,32,-0.5156250000000000,1.9526706203161650,1.9526728387299279,0.0000022184137629
multi_scale_1d,33,-0.5000000000000000,2.0408163265306127,2.0408163265306345,0.0000000000000218
multi_scale_1d,34,-0.4843750000000000,2.1350680761452017,2.1350657531549353,0.0000023229902664
multi_scale_1d,35,-0.4687500000000000,2.2360031443794224,2.2359992908807564,0.0000038534986659
multi_scale_1d,36,-0.4531250000000000,2.3442686751676933,2.3442647193896153,0.0000039557780780
multi_scale_1d,37,-0.4375000000000000,2.4605920799692429,2.4605895646019680,0.0000025153672749
multi_scale_1d,38,-0.4218750000000000,2.5857932880482819,2.5857932718704948,0.0000000161777871
multi_scale_1d,39,-0.4062500000000000,2.7207992347752157,2.7208018427655456,0.0000026079903299
multi_scale_1d,40,-0.3906250000000000,2.8666610677192694,2.8666653774646549,0.0000043097453855
multi_scale_1d,41,-0.3750000000000000,3.0245746691871460,3.0245790088489022,0.0000043396617562
multi_scale_1d,42,-0.3593750000000000,3.1959052464030466,3.1959078252426392,0.0000025788395925
multi_scale_1d,43,-0.3437500000000000,3.3822169375082582,3.3822165869055443,0.0000003506027140
multi_scale_1d,44,-0.3281250000000000,3.5853086376527439,3.5853053658130780,0.0000032718396659
multi_scale_1d,45,-0.3125000000000000,3.8072575847709698,3.8072526832614475,0.0000049015095223
multi_scale_1d,46,-0.2968750000000000,4.0504726869981411,4.0504682785593245,0.0000044084388167
multi_scale_1d,47,-0.2812500000000000,4.3177601619160058,4.3177583077563018,0.0000018541597040
multi_scale_1d,48,-0.2656250000000000,4.6124048466285297,4.6124065564065830,0.0000017097780534
multi_scale_1d,49,-0.2500000000000000,4.9382716049382713,4.9382762113637710,0.0000046064254997
multi_scale_1d,50,-0.2343750000000000,5.2999327156979454,5.2999380016620030,0.0000052859640576
multi_scale_1d,51,-0.2187500000000000,5.7028291378926266,5.7028323122424576,0.0000031743498310
multi_scale_1d,52,-0.2031250000000000,6.1534763535845203,6.1534755363065443,0.0000008172779760
multi_scale_1d,53,-0.1875000000000000,6.6597294484911540,6.6597249294920768,0.0000045189990772
multi_scale_1d,54,-0.1718750000000000,7.2311277452157325,7.2311221714382725,0.0000055737774600
multi_scale_1d,55,-0.1562500000000000,7.8793474915358566,7.8793445231992889,0.0000029683365677
multi_scale_1d,56,-0.1406250000000000,8.6188031310495745,8.6188049988405915,0.0000018677910170
multi_scale_1d,57,-0.1250000000000000,9.4674556213017738,9.4674610644758062,0.0000054431740324
multi_scale_1d,58,-0.1093750000000000,10.4479134782165080,10.4479179994245150,0.0000045212080071
multi_scale_1d,59,-0.0937500000000000,11.5889542779538228,11.5889536100268256,0.0000006679269973
multi_scale_1d,60,-0.0781250000000000,12.9276606489079651,12.9276554624030524,0.0000051865049127
multi_scale_1d,61,-0.0625000000000000,14.5124716553287971,14.5124683295218926,0.0000033258069045
multi_scale_1d,62,-0.0468750000000000,16.4076269828553123,16.4076301357055421,0.0000031528502298
multi_scale_1d,63,-0.0312500000000000,18.6997808619430224,18.6997840573887011,0.0000031954456787
multi_scale_1d,64,-0.0156250000000000,21.5080865364419225,21.5080833402066496,0.0000031962352729
multi_scale_1d,65,0.0000000000000000,24.9999999999999964,25.0000000000000746,0.0000000000000782
multi_scale_1d,66,0.0156250000000000,21.5080865364419225,21.5080865364420006,0.0000000000000782
multi_scale_1d,67,0.0312500000000000,18.6997808619430224,18.6997808619430543,0.0000000000000320
multi_scale_1d,68,0.0468750000000000,16.4076269828553123,16.4076269828553336,0.0000000000000213
multi_scale_1d,69,0.0625000000000000,14.5124716553287971,14.5124716553288398,0.0000000000000426
multi_scale_1d,70,0.0781250000000000,12.9276606489079651,12.9276606489079899,0.0000000000000249
multi_scale_1d,71,0.0937500000000000,11.5889542779538228,11.5889542779538495,0.0000000000000266
multi_scale_1d,72,0.1093750000000000,10.4479134782165080,10.4479134782165275,0.0000000000000195
multi_scale_1d,73,0.1250000000000000,9.4674556213017738,9.4674556213018075,0.0000000000000338
multi_scale_1d,74,0.1406250000000000,8.6188031310495745,8.6188031310495994,0.0000000000000249
multi_scale_1d,75,0.1562500000000000,7.8793474915358566,7.8793474915358530,0.0000000000000036
multi_scale_1d,76,0.1718750000000000,7.2311277452157325,7.2311277452157361,0.0000000000000036
multi_scale_1d,77,0.1875000000000000,6.6597294484911540,6.6597294484911824,0.0000000000000284
multi_scale_1d,78,0.2031250000000000,6.1534763535845203,6.1534763535845443,0.0000000000000240
multi_scale_1d,79,0.2187500000000000,5.7028291378926266,5.7028291378926426,0.0000000000000160
multi_scale_1d,80,0.2343750000000000,5.2999327156979454,5.2999327156979694,0.0000000000000240
multi_scale_1d,81,0.2500000000000000,4.9382716049382713,4.9382716049382944,0.0000000000000231
multi_scale_1d,82,0.2656250000000000,4.6124048466285297,4.6124048466285528,0.0000000000000231
multi_scale_1d,83,0.2812500000000000,4.3177601619160058,4.3177601619160244,0.0000000000000187
multi_scale_1d,84,0.2968750000000000,4.0504726869981411,4.0504726869981562,0.0000000000000151
multi_scale_1d,85,0.3125000000000000,3.8072575847709698,3.8072575847709871,0.0000000000000173
multi_scale_1d,86,0.3281250000000000,3.5853086376527439,3.5853086376527639,0.0000000000000200
multi_scale_1d,87,0.3437500000000000,3.3822169375082582,3.3822169375082747,0.0000000000000164
multi_scale_1d,88,0.3593750000000000,3.1959052464030466,3.1959052464030666,0.0000000000000200
multi_scale_1d,89,0.3750000000000000,3.0245746691871460,3.0245746691871607,0.0000000000000147
multi_scale_1d,90,0.3906250000000000,2.8666610677192694,2.8666610677192841,0.0000000000000147
multi_scale_1d,91,0.4062500000000000,2.7207992347752157,2.7207992347752299,0.0000000000000142
multi_scale_1d,92,0.4218750000000000,2.5857932880482819,2.5857932880482970,0.0000000000000151
multi_scale_1d,93,0.4375000000000000,2.4605920799692429,2.4605920799692584,0.0000000000000155
multi_scale_1d,94,0.4531250000000000,2.3442686751676933,2.3442686751677129,0.0000000000000195
multi_scale_1d,95,0.4687500000000000,2.2360031443794224,2.2360031443794441,0.0000000000000218
multi_scale_1d,96,0.4843750000000000,2.1350680761452017,2.1350680761452243,0.0000000000000226
multi_scale_1d,97,0.5000000000000000,2.0408163265306127,2.0408163265306114,0.0000000000000013
multi_scale_1d,98,0.5156250000000000,1.9526706203161650,1.9526706203161639,0.0000000000000011
