x_index,y_index,x,y,source_u_periodic,source_v,source_exact,periodic_exact,periodic_qtt,periodic_abs_error,antiperiodic_exact,antiperiodic_qtt,antiperiodic_abs_error,open_exact,open_qtt,open_abs_error
1,37,0,36,36,36,-0.2851630709590066,-1.0755930817485546,-1.0755930817485542,0.0000000000000004,-1.0755930817485546,-1.0755930817485542,0.0000000000000004,-1.0755930817485546,-1.0755930817485542,0.0000000000000004
1,38,0,37,37,37,-0.2330932290985412,-1.1611535506682245,-1.1611535506682240,0.0000000000000004,-1.1611535506682245,-1.1611535506682240,0.0000000000000004,-1.1611535506682245,-1.1611535506682240,0.0000000000000004
1,39,0,38,38,38,-0.1847649230234511,-1.2165013592716822,-1.2165013592716825,0.0000000000000002,-1.2165013592716822,-1.2165013592716825,0.0000000000000002,-1.2165013592716822,-1.2165013592716825,0.0000000000000002
1,40,0,39,39,39,-0.1413089065805610,-1.2413788269321024,-1.2413788269321029,0.0000000000000004,-1.2413788269321024,-1.2413788269321029,0.0000000000000004,-1.2413788269321024,-1.2413788269321029,0.0000000000000004
1,41,0,40,40,40,-0.1035533905932738,-1.2374368670764586,-1.2374368670764582,0.0000000000000004,-1.2374368670764586,-1.2374368670764582,0.0000000000000004,-1.2374368670764586,-1.2374368670764582,0.0000000000000004
1,42,0,41,41,41,-0.0720003219810152,-1.2080562796510590,-1.2080562796510588,0.0000000000000002,-1.2080562796510590,-1.2080562796510588,0.0000000000000002,-1.2080562796510590,-1.2080562796510588,0.0000000000000002
1,43,0,42,42,42,-0.0468152333819794,-1.1580273093163784,-1.1580273093163782,0.0000000000000002,-1.1580273093163784,-1.1580273093163782,0.0000000000000002,-1.1580273093163784,-1.1580273093163782,0.0000000000000002
1,44,0,43,43,43,-0.0278309653373626,-1.0931153476789639,-1.0931153476789637,0.0000000000000002,-1.0931153476789639,-1.0931153476789637,0.0000000000000002,-1.0931153476789639,-1.0931153476789637,0.0000000000000002
1,45,0,44,44,44,-0.0145650208859081,-1.0195503906025594,-1.0195503906025589,0.0000000000000004,-1.0195503906025594,-1.0195503906025589,0.0000000000000004,-1.0195503906025594,-1.0195503906025589,0.0000000000000004
1,46,0,45,45,45,-0.0062497803723306,-0.9434843533185289,-0.9434843533185282,0.0000000000000007,-0.9434843533185289,-0.9434843533185282,0.0000000000000007,-0.9434843533185289,-0.9434843533185282,0.0000000000000007
1,47,0,46,46,46,-0.0018743029167917,-0.8704630383356584,-0.8704630383356580,0.0000000000000004,-0.8704630383356584,-0.8704630383356580,0.0000000000000004,-0.8704630383356584,-0.8704630383356580,0.0000000000000004
1,48,0,47,47,47,-0.0002359896607482,-0.8049582129039250,-0.8049582129039250,0.0000000000000000,-0.8049582129039250,-0.8049582129039250,0.0000000000000000,-0.8049582129039250,-0.8049582129039250,0.0000000000000000
1,49,0,48,48,48,0.0000000000000000,-0.7500000000000000,-0.7499999999999999,0.0000000000000001,-0.7500000000000000,-0.7499999999999999,0.0000000000000001,-0.7500000000000000,-0.7499999999999999,0.0000000000000001
1,50,0,49,49,49,0.0002359896607482,-0.7069410725743648,-0.7069410725743641,0.0000000000000007,-0.7069410725743648,-0.7069410725743641,0.0000000000000007,-0.7069410725743648,-0.7069410725743641,0.0000000000000007
1,51,0,50,50,50,0.0018743029167917,-0.6753727163195298,-0.6753727163195304,0.0000000000000007,-0.6753727163195298,-0.6753727163195304,0.0000000000000007,-0.6753727163195298,-0.6753727163195304,0.0000000000000007
