x_index,y_index,x,y,exact,interleaved_qtt,grouped_qtt,interleaved_abs_error,grouped_abs_error
1,52,-2.0000000000000000,-0.4062500000000000,0.7645525884145927,0.7645525884145929,0.7645525884145925,0.0000000000000002,0.0000000000000002
1,53,-2.0000000000000000,-0.3750000000000000,0.7744556064836281,0.7744556064836281,0.7744556064836281,0.0000000000000000,0.0000000000000000
1,54,-2.0000000000000000,-0.3437500000000000,0.7836023817956551,0.7836023817956553,0.7836023817956550,0.0000000000000002,0.0000000000000001
1,55,-2.0000000000000000,-0.3125000000000000,0.7919839826798049,0.7919839826798049,0.7919839826798046,0.0000000000000000,0.0000000000000002
1,56,-2.0000000000000000,-0.2812500000000000,0.7995922246450520,0.7995922246450521,0.7995922246450520,0.0000000000000001,0.0000000000000000
1,57,-2.0000000000000000,-0.2500000000000000,0.8064196783722312,0.8064196783722313,0.8064196783722313,0.0000000000000001,0.0000000000000001
1,58,-2.0000000000000000,-0.2187500000000000,0.8124596769686420,0.8124596769686420,0.8124596769686419,0.0000000000000000,0.0000000000000001
1,59,-2.0000000000000000,-0.1875000000000000,0.8177063224781551,0.8177063224781552,0.8177063224781549,0.0000000000000001,0.0000000000000002
1,60,-2.0000000000000000,-0.1562500000000000,0.8221544916404676,0.8221544916404676,0.8221544916404675,0.0000000000000000,0.0000000000000001
1,61,-2.0000000000000000,-0.1250000000000000,0.8257998408938791,0.8257998408938791,0.8257998408938790,0.0000000000000000,0.0000000000000001
1,62,-2.0000000000000000,-0.0937500000000000,0.8286388106167064,0.8286388106167066,0.8286388106167063,0.0000000000000002,0.0000000000000001
1,63,-2.0000000000000000,-0.0625000000000000,0.8306686286031930,0.8306686286031930,0.8306686286031930,0.0000000000000000,0.0000000000000000
1,64,-2.0000000000000000,-0.0312500000000000,0.8318873127705219,0.8318873127705217,0.8318873127705217,0.0000000000000001,0.0000000000000001
1,65,-2.0000000000000000,0.0000000000000000,0.8322936730942848,0.8322936730942848,0.8322936730942848,0.0000000000000000,0.0000000000000000
1,66,-2.0000000000000000,0.0312500000000000,0.8318873127705219,0.8318873127705219,0.8318873127705219,0.0000000000000000,0.0000000000000000
1,67,-2.0000000000000000,0.0625000000000000,0.8306686286031930,0.8306686286031930,0.8306686286031930,0.0000000000000000,0.0000000000000000
1,68,-2.0000000000000000,0.0937500000000000,0.8286388106167064,0.8286388106167063,0.8286388106167063,0.0000000000000001,0.0000000000000001
1,69,-2.0000000000000000,0.1250000000000000,0.8257998408938791,0.8257998408938789,0.8257998408938793,0.0000000000000002,0.0000000000000001
1,70,-2.0000000000000000,0.1562500000000000,0.8221544916404676,0.8221544916404676,0.8221544916404676,0.0000000000000000,0.0000000000000000
1,71,-2.0000000000000000,0.1875000000000000,0.8177063224781551,0.8177063224781548,0.8177063224781551,0.0000000000000003,0.0000000000000000
1,72,-2.0000000000000000,0.2187500000000000,0.8124596769686420,0.8124596769686419,0.8124596769686420,0.0000000000000001,0.0000000000000000
1,73,-2.0000000000000000,0.2500000000000000,0.8064196783722312,0.8064196783722312,0.8064196783722312,0.0000000000000000,0.0000000000000000
1,74,-2.0000000000000000,0.2812500000000000,0.7995922246450520,0.7995922246450520,0.7995922246450520,0.0000000000000000,0.0000000000000000
1,75,-2.0000000000000000,0.3125000000000000,0.7919839826798049,0.7919839826798049,0.7919839826798047,0.0000000000000000,0.0000000000000001
1,76,-2.0000000000000000,0.3437500000000000,0.7836023817956551,0.7836023817956551,0.7836023817956550,0.0000000000000000,0.0000000000000001
