x_index,y_index,x,y,exact,qtt,abs_error
1,32,-1.0000000000000000,-0.0312500000000000,0.9606364216293294,0.9606364232657044,0.0000000016363750
1,33,-1.0000000000000000,0.0000000000000000,0.9615384615384615,0.9615384615384871,0.0000000000000256
1,34,-1.0000000000000000,0.0312500000000000,0.9606364216293294,0.9606364232656986,0.0000000016363693
1,35,-1.0000000000000000,0.0625000000000000,0.9579404280796288,0.9579404286110529,0.0000000005314241
1,36,-1.0000000000000000,0.0937500000000000,0.9534805765577861,0.9534805739175158,0.0000000026402702
1,37,-1.0000000000000000,0.1250000000000000,0.9473060982830077,0.9473060961537383,0.0000000021292694
1,38,-1.0000000000000000,0.1562500000000000,0.9394840177621196,0.9394840188231288,0.0000000010610092
1,39,-1.0000000000000000,0.1875000000000000,0.9300973695683766,0.9300973728570499,0.0000000032886732
1,40,-1.0000000000000000,0.2187500000000000,0.9192430607921289,0.9192430634525631,0.0000000026604342
1,41,-1.0000000000000000,0.2500000000000000,0.9070294784580498,0.9070294784580820,0.0000000000000322
1,42,-1.0000000000000000,0.2812500000000000,0.8935739467346155,0.8935739441900155,0.0000000025446001
1,43,-1.0000000000000000,0.3125000000000000,0.8790001373437715,0.8790001340469736,0.0000000032967978
1,44,-1.0000000000000000,0.3437500000000000,0.8634355290229012,0.8634355270233341,0.0000000019995671
1,45,-1.0000000000000000,0.3750000000000000,0.8470089994706194,0.8470089998077145,0.0000000003370951
1,46,-1.0000000000000000,0.4062500000000000,0.8298486174592369,0.8298486197248575,0.0000000022656206
1,47,-1.0000000000000000,0.4375000000000000,0.8120796853191219,0.8120796881007739,0.0000000027816520
1,48,-1.0000000000000000,0.4687500000000000,0.7938230642810630,0.7938230660688192,0.0000000017877563
1,49,-1.0000000000000000,0.5000000000000000,0.7751937984496123,0.7751937984495723,0.0000000000000401
1,50,-1.0000000000000000,0.5312500000000000,0.7563000384058614,0.7563000368585696,0.0000000015472917
1,51,-1.0000000000000000,0.5625000000000000,0.7372422531966363,0.7372422511135346,0.0000000020831017
1,52,-1.0000000000000000,0.5937500000000000,0.7181127100339421,0.7181127085667738,0.0000000014671683
1,53,-1.0000000000000000,0.6250000000000000,0.6989951944080385,0.6989951942194801,0.0000000001885584
1,54,-1.0000000000000000,0.6562500000000000,0.6799649393078169,0.6799649402731868,0.0000000009653699
1,55,-1.0000000000000000,0.6875000000000000,0.6610887305030472,0.6610887318740962,0.0000000013710491
1,56,-1.0000000000000000,0.7187500000000000,0.6424251549599739,0.6424251558695308,0.0000000009095569
1,57,-1.0000000000000000,0.7500000000000000,0.6240249609984400,0.6240249609985443,0.0000000000001044
1,58,-1.0000000000000000,0.7812500000000000,0.6059315013373098,0.6059315006414064,0.0000000006959033
1,59,-1.0000000000000000,0.8125000000000000,0.5881812333425237,0.5881812326114104,0.0000000007311133
